visa_type,fy,last_event_date,case_no,case_status,n_certified,employer_name,employer_state,employer_city,employer_address_1,employer_address_2,is_certified,is_expired,is_duplicate
H-2A,2015,2015-01-05,H-300-14352-057076,CERTIFIED - FULL,3,"Peri & Sons Farms, Inc.",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-01-12,H-300-14352-320967,CERTIFIED - FULL,80,"PERI & SONS FARMS, INC.",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-01-13,H-300-14352-105671,CERTIFIED - FULL,13,"Peri & Sons Farms, Inc.",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-01-16,H-300-14352-567128,CERTIFIED - FULL,3,"Peri & Sons Farms of California, LLC.",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-01-26,H-300-14352-652898,CERTIFIED - FULL,1,"Peri & Sons Farms of California, LLC.",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-02-04,H-300-15016-884495,CERTIFIED - FULL,91,"Peri & Sons Farms, Inc.",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-02-26,H-300-15035-779780,CERTIFIED - FULL,28,"Peri & Sons Farms, Inc.",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-03-17,H-300-15050-035723,CERTIFIED - FULL,7,"Peri & Sons Farms of California, LLC",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-03-17,H-300-15050-665785,CERTIFIED - FULL,18,"PERI & SONS FARMS OF CALIFORNIA, LLC",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-03-31,H-300-15068-703440,CERTIFIED - FULL,69,"Peri & Sons Farms, Inc.",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-04-03,H-300-15079-492449,CERTIFIED - FULL,135,"Peri & Sons Farms, Inc.",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-04-14,H-300-15079-714691,CERTIFIED - FULL,31,"Peri & Sons Farms of California, LLC",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-04-15,H-300-15068-440906,CERTIFIED - FULL,14,"Peri & Sons Farms, Inc.",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-04-15,H-300-15079-263720,CERTIFIED - FULL,7,"Peri & Sons Farms of California, LLC",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-04-23,H-300-15090-417723,CERTIFIED - FULL,104,"Peri & Sons Farms, Inc.",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-05-05,H-300-15104-456997,CERTIFIED - FULL,26,"Peri & Sons Farms, Inc.",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-05-14,H-300-15117-357814,CERTIFIED - FULL,59,"Peri & Sons Farms, Inc.",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-06-17,H-300-15154-238764,CERTIFIED - FULL,35,"Peri & Sons Farms, Inc.",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-06-19,H-300-15154-787481,CERTIFIED - FULL,200,"Peri & Sons Farms, Inc.",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-06-23,H-300-15154-113338,CERTIFIED - FULL,207,"Peri & Sons Farms, Inc.",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-06-24,H-300-15154-478796,CERTIFIED - FULL,50,"Peri & Sons Farms, Inc.",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-06-25,H-300-15154-291534,CERTIFIED - FULL,32,"Peri & Sons Farms, Inc.",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-06-26,H-300-15154-552219,CERTIFIED - FULL,62,"Peri & Sons Farms, Inc.",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
H-2A,2015,2015-06-30,H-300-15154-900190,CERTIFIED - FULL,122,"Peri & Sons Farms, Inc.",NV,YERINGTON,430 STATE ROUTE 339,,True,False,False
