employer_id,h2_backwages,names
88-0175412,2338699.6,"Peri & Sons Farms, Inc."
06-1615735,438668.14,"Global Horizons Manpower | Global Horizons Manpower, Inc."
64-0666940,423000.0,"Simmons Farm Raised Catfish, Inc."
95-4673801,346488.18,"Global Horizons Inc | Global Horizons Manpower Inc. | Global Horizons Manpower, Incorporated | Global Horizons, Inc"
68-0318735,289253.41,"Sierra Cascade Nursery, Inc | Sierra-Cascade Nursery, Inc."
14-1941427,251514.35,"Toto's Picking, Inc."
83-0452790,178423.05,Britt's Garden Acres
77-0082593,160878.08,"Escamilla & Sons, Inc."
59-0881602,153076.16,"Wm. G. Roe & Sons, Inc."
20-5399333,148078.33,"Overlook Harvesting Company LLC | Overlook Harvesting, LLC"
71-0813021,130381.3,Randy Clanton Farms
72-1087404,116445.91,"Liuzza Produce Farms, Inc."
11-3588079,116037.22,"East Coast Sod,. LLC"
